Date,Close/Last,Volume,Open,High,Low
3/12/2025, 69.94 ,18923300, 70.37 , 70.73 , 69.74 
3/11/2025, 71.04 ,28076440, 71.88 , 72.04 , 70.61 
3/10/2025, 71.45 ,25251190, 71.96 , 73.22 , 71.32 
3/7/2025, 71.43 ,28393260, 69.65 , 71.82 , 69.65 
3/6/2025, 70.46 ,21694030, 70.41 , 70.53 , 69.45 
3/5/2025, 70.08 ,23933630, 69.90 , 70.74 , 69.84 
3/4/2025, 70.19 ,25411860, 72.07 , 72.65 , 69.88 
3/3/2025, 72.32 ,21717600, 70.24 , 72.36 , 69.73 
2/28/2025, 71.21 ,22167380, 71.45 , 71.57 , 70.56 
2/27/2025, 70.87 ,16789480, 70.72 , 71.54 , 70.42 
2/26/2025, 70.80 ,14531180, 71.27 , 71.28 , 70.53 
2/25/2025, 71.49 ,21555590, 70.86 , 71.77 , 70.73 
2/24/2025, 70.59 ,21418440, 70.84 , 71.73 , 70.33 
2/21/2025, 71.35 ,21662250, 70.32 , 71.60 , 70.13 
2/20/2025, 70.04 ,13398010, 69.71 , 70.07 , 69.42 
2/19/2025, 70.07 ,16032270, 69.21 , 70.13 , 69.17 
2/18/2025, 69.05 ,15569120, 68.55 , 69.37 , 68.42 
2/14/2025, 68.87 ,20779090, 69.37 , 70.03 , 68.76 
2/13/2025, 69.50 ,24393150, 69.00 , 69.61 , 68.76 
2/12/2025, 68.71 ,26033760, 66.87 , 68.82 , 66.87 
2/11/2025, 67.60 ,30589150, 67.50 , 67.67 , 66.41 
2/10/2025, 64.55 ,16154300, 64.10 , 64.65 , 63.66 
2/7/2025, 63.84 ,13184670, 63.43 , 63.92 , 63.27 
2/6/2025, 63.36 ,13423410, 63.62 , 63.74 , 62.91 
2/5/2025, 63.12 ,10686750, 62.72 , 63.29 , 62.59 
2/4/2025, 62.67 ,15678000, 63.61 , 63.63 , 62.35 
2/3/2025, 63.35 ,12067880, 63.18 , 63.63 , 62.43 
1/31/2025, 63.48 ,12102060, 63.70 , 63.93 , 63.39 
1/30/2025, 64.05 ,13200980, 63.85 , 64.29 , 63.23 
1/29/2025, 62.83 ,11325640, 62.56 , 63.36 , 62.55 
1/28/2025, 62.36 ,14956030, 63.51 , 64.04 , 62.28 
1/27/2025, 63.87 ,20742920, 62.87 , 64.18 , 62.47 
1/24/2025, 61.92 ,19244600, 61.72 , 62.01 , 61.44 
1/23/2025, 61.53 ,16528420, 61.80 , 61.98 , 61.37 
1/22/2025, 61.78 ,18191890, 62.12 , 62.29 , 61.66 
